schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,table,measure,event_date_definition,geography,population_universe,unit,denominator,suppression_semantics,reporting_regime,known_exclusions,cited_source_id,cited_source_sha256,cited_source_retrieved_at,cited_source_version
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;MortalityTotalDeaths;...priorto1July2020;...since1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,cumulative_deaths,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,deaths,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2026-07-29,observed,covid19_current_summary_csv:Date;TestsTotalTests; data/sources.yaml:covid19_current_summary_csv.title,manual_dictionary_transcription_v1,covid_current_summary,cumulative_tests,unknown,"Jersey (registry title: ""Coronavirus (COVID-19) data for Jersey (current summary list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (row density by year is visible in the frozen file but the file states no regime),undated cumulative row excluded and recorded as a warning,covid19_current_summary_csv,4566333483a6ac4229e86d009fff97caf8f8c52ef1c4758ad07e9558da3630dd,2026-09-03,2020-07-30/2026-07-29
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2026-07-29,observed,covid19_current_summary_csv:Date;CasesTotalConfirmedPositiveCases; data/sources.yaml:covid19_current_summary_csv.title,manual_dictionary_transcription_v1,covid_current_summary,cumulative_confirmed_cases,unknown,"Jersey (registry title: ""Coronavirus (COVID-19) data for Jersey (current summary list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (row density by year is visible in the frozen file but the file states no regime),undated cumulative row excluded and recorded as a warning,covid19_current_summary_csv,4566333483a6ac4229e86d009fff97caf8f8c52ef1c4758ad07e9558da3630dd,2026-09-03,2020-07-30/2026-07-29
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2026-07-29,observed,covid19_current_summary_csv:Date;CasesSeven7DayNumberper100000; data/sources.yaml:covid19_current_summary_csv.title,manual_dictionary_transcription_v1,covid_current_summary,seven_day_rate_per_100k,unknown,"Jersey (registry title: ""Coronavirus (COVID-19) data for Jersey (current summary list)"")",unknown,per_100000,unknown,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (row density by year is visible in the frozen file but the file states no regime),undated cumulative row excluded and recorded as a warning,covid19_current_summary_csv,4566333483a6ac4229e86d009fff97caf8f8c52ef1c4758ad07e9558da3630dd,2026-09-03,2020-07-30/2026-07-29
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2026-07-29,observed,covid19_current_summary_csv:Date;MortalityTotalDeaths; data/sources.yaml:covid19_current_summary_csv.title,manual_dictionary_transcription_v1,covid_current_summary,cumulative_deaths,unknown,"Jersey (registry title: ""Coronavirus (COVID-19) data for Jersey (current summary list)"")",unknown,deaths,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (row density by year is visible in the frozen file but the file states no regime),undated cumulative row excluded and recorded as a warning,covid19_current_summary_csv,4566333483a6ac4229e86d009fff97caf8f8c52ef1c4758ad07e9558da3630dd,2026-09-03,2020-07-30/2026-07-29
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-01-22/2023-03-09,observed,jhu_csse_confirmed_global_csv:Province/State;Country/Region; data/sources.yaml:jhu_csse_confirmed_global_csv.title,manual_dictionary_transcription_v1,covid_jhu_daily,cumulative_confirmed_cases,unknown (JHU README describes daily-report aggregation but is not a frozen source),"Jersey row (Province/State == ""Jersey"", Country/Region == ""United Kingdom"") of a global file",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (the frozen CSV states no regime; the series ends 2023-03-09 per its last column header),unknown,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,2026-09-04,2020-01-22/2023-03-09
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-01-22/2023-03-09,observed,jhu_csse_deaths_global_csv:Province/State;Country/Region; data/sources.yaml:jhu_csse_deaths_global_csv.title,manual_dictionary_transcription_v1,covid_jhu_daily,cumulative_deaths,unknown (JHU README describes daily-report aggregation but is not a frozen source),"Jersey row (Province/State == ""Jersey"", Country/Region == ""United Kingdom"") of a global file",unknown,deaths,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (the frozen CSV states no regime; the series ends 2023-03-09 per its last column header),unknown,jhu_csse_deaths_global_csv,4e87757a3e059c45650a1e1856614f8e339ee3c70653c378a7ba6f7b0ee8c72e,2026-09-04,2020-01-22/2023-03-09
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-01-22/2023-03-09,observed,jhu_csse_confirmed_global_csv:Province/State;Country/Region; data/sources.yaml:jhu_csse_confirmed_global_csv.title,manual_dictionary_transcription_v1,covid_jhu_daily,daily_new_confirmed_cases,unknown (JHU README describes daily-report aggregation but is not a frozen source),"Jersey row (Province/State == ""Jersey"", Country/Region == ""United Kingdom"") of a global file",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown (the frozen CSV states no regime; the series ends 2023-03-09 per its last column header),unknown,jhu_csse_confirmed_global_csv,e6234a59eec4359d2577358b5220e1a7e3da74c162913cdb7d882db1413f98c2,2026-09-04,2020-01-22/2023-03-09
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 1; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,estimated_population_prevalence_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","adults 16+ in private households, care homes excluded",percent,"individuals tested (855), weighted, and adjusted for assumed test sensitivity (PDF page 7: ""The observed prevalence is adjusted for the sensitivity of the test kits"")",blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 1; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,estimated_population_prevalence_ci95_half_width_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","adults 16+ in private households, care homes excluded",percent,"individuals tested (855), weighted, and adjusted for assumed test sensitivity (PDF page 7: ""The observed prevalence is adjusted for the sensitivity of the test kits"")",blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 6; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,observed_unweighted_prevalence_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","adults 16+ in private households, care homes excluded",percent,"individuals tested (855), unweighted (PDF page 6: ""Prior to weighting the observed prevalence rate was 2.9%"")",blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 6; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,weighted_unadjusted_prevalence_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","adults 16+ in private households, care homes excluded",percent,"individuals tested (855), weighted at household and individual level, not sensitivity-adjusted (PDF page 6: ""after weighting it was 2.6%"")",blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 2; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,households_tested,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")",adults 16+ in private households; care homes excluded (PDF pages 1 and 2),households,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 2; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,individuals_tested,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")",adults 16+ in private households; care homes excluded (PDF pages 1 and 2),individuals,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 2; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,response_rate_households_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")",adults 16+ in private households; care homes excluded (PDF pages 1 and 2),percent,eligible sampled households / individuals after removing ineligible addresses (PDF page 2),blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 2; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,response_rate_individuals_percent,fieldwork 2020-04-29/2020-05-05 (registry reference_period of sars_cov2_serosurvey_2020_pdf),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")",adults 16+ in private households; care homes excluded (PDF pages 1 and 2),percent,eligible sampled households / individuals after removing ineligible addresses (PDF page 2),blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,care homes excluded,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 7; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,assumed_test_sensitivity_percent,not applicable: assay characteristic taken from the cited evaluation (PDF page 7),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","assay validation samples reported by the WHO-cited evaluation of the test kits, not the Jersey survey population (PDF page 7)",percent,unknown,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,unknown,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-04-29/2020-05-05,observed,sars_cov2_serosurvey_2020_pdf:PDF page 7; data/sources.yaml:sars_cov2_serosurvey_2020_pdf.title,manual_dictionary_transcription_v1,covid_serosurvey_2020,assumed_test_sensitivity_ci95_low_percent,not applicable: assay characteristic taken from the cited evaluation (PDF page 7),"Jersey (registry title: ""SARS-CoV-2: Prevalence of antibodies in Jersey (community serosurvey)"")","assay validation samples reported by the WHO-cited evaluation of the test kits, not the Jersey survey population (PDF page 7)",percent,unknown,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),unknown,unknown,sars_cov2_serosurvey_2020_pdf,a74e606e5ef16544a763146249b42fba8ae61fb00526982793c6f9fbc300dd0d,2026-09-03,2020-04-29/2020-05-05
